load,duration,system,type,countTh,cpuTh,methodTimeTh,memoryUsageTh,heapTh,numMsgs,option,foundAP,time
25,3,openmrs,CTH,10,55,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,10,60,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,10,60,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,10,60,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,10,65,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,10,65,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,10,65,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,10,70,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,10,70,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,10,70,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,10,75,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,10,75,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,10,75,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,10,80,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,10,80,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,10,80,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,10,85,-1,-1,-1,-1,min,0,1
25,3,openmrs,CTH,10,85,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,10,85,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,10,90,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,10,90,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,10,90,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,10,95,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,10,95,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,10,95,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,15,5,-1,-1,-1,-1,min,0,11
25,3,openmrs,CTH,15,5,-1,-1,-1,-1,max,1,17
25,3,openmrs,CTH,15,5,-1,-1,-1,-1,average,0,14
25,3,openmrs,CTH,15,10,-1,-1,-1,-1,min,0,13
25,3,openmrs,CTH,15,10,-1,-1,-1,-1,max,1,14
25,3,openmrs,CTH,15,10,-1,-1,-1,-1,average,0,16
25,3,openmrs,CTH,15,15,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,15,15,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,15,15,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,15,20,-1,-1,-1,-1,min,0,1
25,3,openmrs,CTH,15,20,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,15,20,-1,-1,-1,-1,average,0,4
